iter	Logloss
0	0.6628424402
1	0.6248955113
2	0.5958676467
3	0.572729423
4	0.5504682128
5	0.5275731585
6	0.5093738153
7	0.4916462857
8	0.4745839673
9	0.4591967309
10	0.4412420493
11	0.4272489188
12	0.4157316915
13	0.404727206
14	0.3947295264
15	0.3859885951
16	0.3774228463
17	0.3697723655
18	0.3614950908
19	0.3547726217
20	0.3481950498
21	0.342314838
22	0.3370415522
23	0.3324780643
24	0.3280227385
25	0.3211693746
26	0.3174068872
27	0.3122480973
28	0.3055471653
29	0.3026482191
30	0.2999639266
31	0.2949619075
32	0.2924058698
33	0.2895858966
34	0.2858818729
35	0.2810319215
36	0.2789025923
37	0.2765671744
38	0.2744015503
39	0.2713957163
40	0.2690509381
41	0.2673816425
42	0.2656353832
43	0.2642542732
44	0.2624828524
45	0.261282447
46	0.2597391329
47	0.2586459287
48	0.2575564437
49	0.2566425066
50	0.2555047225
51	0.2545589128
52	0.2535435981
53	0.2524292368
54	0.2516808143
55	0.2506752384
56	0.2498711856
57	0.2488938481
58	0.2479918257
59	0.2466147629
60	0.2456780142
61	0.2447757646
62	0.244086774
63	0.2433816595
64	0.2426313933
65	0.2409621806
66	0.2400152174
67	0.2394871279
68	0.2389062231
69	0.2381737916
70	0.2375903596
71	0.2369147824
72	0.2364617857
73	0.2357597272
74	0.2352823696
75	0.2347748055
76	0.234085659
77	0.2328159456
78	0.2322882926
79	0.2309115354
80	0.2302562438
81	0.2298000056
82	0.2293305514
83	0.2282572505
84	0.2271454376
85	0.2268096648
86	0.2263177347
87	0.226003879
88	0.2249492842
89	0.2240098746
90	0.2236780464
91	0.2220299249
92	0.2216434659
93	0.2205214744
94	0.2194516433
95	0.2191406333
96	0.2183783867
97	0.2181612134
98	0.2178850743
99	0.2166813027
100	0.2157943982
101	0.2155277739
102	0.2148240609
103	0.214199843
104	0.2137576608
105	0.2135706313
106	0.2126993623
107	0.2121684156
108	0.2118599823
109	0.2116127558
110	0.2113663307
111	0.2112126369
112	0.2104436758
113	0.2102641324
114	0.2100211887
115	0.2095656862
116	0.2085702899
117	0.2076532452
118	0.2074351917
119	0.2072382484
120	0.2070306285
121	0.2066251309
122	0.2059141455
123	0.2052171182
124	0.2049247134
125	0.2041844835
126	0.2036047962
127	0.2028844467
128	0.202591802
129	0.2023344147
130	0.2021560673
131	0.2015504935
132	0.2014467582
133	0.2011982949
134	0.2010219802
135	0.2004240419
136	0.2002836501
137	0.2000865726
138	0.1998129254
139	0.199372442
140	0.1992338697
141	0.1988801013
142	0.1986017078
143	0.1984074264
144	0.1980284815
145	0.1977861876
146	0.1973140773
147	0.1970808495
148	0.1967920992
149	0.1963691439
150	0.1961954918
151	0.195909622
152	0.1957301785
153	0.1955239212
154	0.1953514446
155	0.1951332277
156	0.1949555657
157	0.194634192
158	0.1942905265
159	0.1940485232
160	0.1933394829
161	0.1930235261
162	0.1927574449
163	0.1925347321
164	0.1919070829
165	0.1907746187
166	0.1905629794
167	0.1903801758
168	0.1902488482
169	0.1901267689
170	0.1899069808
171	0.1897071782
172	0.1893179075
173	0.1887359369
174	0.1884578621
175	0.1881211068
176	0.1875901876
177	0.187475058
178	0.1870369502
179	0.1868244353
180	0.1864914003
181	0.186335587
182	0.1861087975
183	0.1859331519
184	0.1858259794
185	0.1855987945
186	0.1854766196
187	0.1852840877
188	0.1851138699
189	0.1848905088
190	0.184729842
191	0.1845608382
192	0.1840585902
193	0.183806518
194	0.1836155502
195	0.1833812887
196	0.1832329978
197	0.1829967232
198	0.1826488352
199	0.1824365883
